number,name,position,positionGroup,side,classRaw,classLabel,eligibilityBucket,height,heightInches,weight,weightPounds,previousSchool,rosterSource
0,Brenden Anes,LB,LB,Defense,So.,Sophomore,Sophomore eligibility,6-2,74,233,233.0,Tennessee,college_newcomer
0,AJ Green Jr.,RB,RB,Offense,Gr.,Graduate,Senior / Graduate,5-10,70,216,216.0,Arkansas,college_newcomer
1,Joshua Franklin,DB,DB,Defense,Sr.,Senior,Senior / Graduate,6-0,72,175,175.0,,returning_2025
1,Emazon Littlejohn,WR,WR,Offense,R-So.,Redshirt Sophomore,Sophomore eligibility,6-0,72,188,188.0,South Carolina,college_newcomer
2,Aveion Chenault,WR,WR,Offense,So.,Sophomore,Sophomore eligibility,6-0,72,190,190.0,,returning_2025
2,Scoop Gardner Jr.,DE,DL,Defense,Jr.,Junior,Junior eligibility,6-1,73,255,255.0,Long Island,college_newcomer
3,Keivin Boone-Nelson II,WR,WR,Offense,Sr.,Senior,Senior / Graduate,5-10,70,180,180.0,College of San Mateo,returning_2025
4,Austin Alexander,DE,DL,Defense,So.,Sophomore,Sophomore eligibility,6-3,75,255,255.0,North Carolina,college_newcomer
4,Cole Cabana,RB,RB,Offense,R-Jr.,Redshirt Junior,Junior eligibility,5-11,71,197,197.0,Michigan,returning_2025
5,Kordell Gouldsby,WR,WR,Offense,R-Jr.,Redshirt Junior,Junior eligibility,5-9,69,170,170.0,Hutchinson CC,college_newcomer
6,Jalen Buckley,RB,RB,Offense,R-Sr.,Redshirt Senior,Senior / Graduate,5-11,71,225,225.0,,returning_2025
6,Joey Pope,S,DB,Defense,R-Jr.,Redshirt Junior,Junior eligibility,5-11,71,165,165.0,,returning_2025
7,Baylin Brooks,WR,WR,Offense,R-Jr.,Redshirt Junior,Junior eligibility,6-1,73,207,207.0,San Diego State,returning_2025
7,Gian Carter,DL,DL,Defense,R-Fr.,Redshirt Freshman,Freshman eligibility,6-3,75,231,231.0,,returning_2025
8,Egypt Nelson,WR,WR,Offense,R-Jr.,Redshirt Junior,Junior eligibility,6-4,76,200,200.0,VMI,returning_2025
8,Jarvarius Sims,CB,DB,Defense,R-Sr.,Redshirt Senior,Senior / Graduate,6-0,72,188,188.0,UCONN,returning_2025
9,Will Gerig,DE,DL,Defense,R-Sr.,Redshirt Senior,Senior / Graduate,6-4,76,250,250.0,,returning_2025
10,Justyce Betts,LB,LB,Defense,R-So.,Redshirt Sophomore,Sophomore eligibility,5-11,71,220,220.0,Butler CC,college_newcomer
10,Teegan Haines,LB,LB,Defense,Jr.,Junior,Junior eligibility,6-3,75,210,210.0,Hutchinson CC,college_newcomer
10,Trey Petty,QB,QB,Offense,R-So.,Redshirt Sophomore,Sophomore eligibility,6-0,72,200,200.0,Illinois,college_newcomer
11,Terence Marshall,WR,WR,Offense,R-So.,Redshirt Sophomore,Sophomore eligibility,6-2,74,192,192.0,,returning_2025
11,Jermar McCarter,LB,LB,Defense,R-Jr.,Redshirt Junior,Junior eligibility,6-1,73,210,210.0,Hinds CC,college_newcomer
12,Broc Lowry,QB,QB,Offense,R-Jr.,Redshirt Junior,Junior eligibility,6-1,73,210,210.0,Indiana,returning_2025
12,Dillon Moore,LB,LB,Defense,R-Sr.,Redshirt Senior,Senior / Graduate,6-2,74,223,223.0,,returning_2025
13,Mason Reynolds,QB,QB,Offense,R-So.,Redshirt Sophomore,Sophomore eligibility,6-1,73,220,220.0,,returning_2025
13,Jordon Thomas,CB,DB,Defense,Sr.,Senior,Senior / Graduate,6-0,72,181,181.0,Eastern Kentucky,returning_2025
14,Daeh McCullough,S,DB,Defense,R-Jr.,Redshirt Junior,Junior eligibility,6-1,73,180,180.0,Louisville,college_newcomer
15,KJ Burley,DE,DL,Defense,R-So.,Redshirt Sophomore,Sophomore eligibility,6-3,75,245,245.0,Keiser,college_newcomer
15,Adam Parks,TE,TE,Offense,R-Jr.,Redshirt Junior,Junior eligibility,6-4,76,245,245.0,New Mexico State,college_newcomer
16,Jaxson Dosh,QB,QB,Offense,Fr.,Freshman,Freshman eligibility,6-0,72,200,200.0,,first_time_college
16,Brodon Moore,CB,DB,Defense,Fr.,Freshman,Freshman eligibility,5-9,69,165,165.0,,first_time_college
17,Cam'ron Barber,CB,DB,Defense,So.,Sophomore,Sophomore eligibility,5-10,70,170,170.0,Presbyterian,college_newcomer
17,Elijah Lucas,WR,WR,Offense,Fr.,Freshman,Freshman eligibility,6-2,74,200,200.0,,first_time_college
18,Micah Davis,S,DB,Defense,R-Jr.,Redshirt Junior,Junior eligibility,6-1,73,200,200.0,Michigan,returning_2025
19,Angelo Chapman,WR,WR,Offense,Fr.,Freshman,Freshman eligibility,5-11,71,160,160.0,,first_time_college
19,Braden Steely,S,DB,Defense,R-So.,Redshirt Sophomore,Sophomore eligibility,5-11,71,192,192.0,,returning_2025
20,Palmer Domschke,K,ST,Special Teams,R-Sr.,Redshirt Senior,Senior / Graduate,5-10,70,186,186.0,,returning_2025
20,Willard Ferrell,CB,DB,Defense,Sr.,Senior,Senior / Graduate,6-1,73,155,155.0,Presbyterian,college_newcomer
21,Chase Dawkins,RB,RB,Offense,R-Fr.,Redshirt Freshman,Freshman eligibility,5-9,69,200,200.0,,returning_2025
21,CJ Miles Jr.,S,DB,Defense,R-So.,Redshirt Sophomore,Sophomore eligibility,6-1,73,201,201.0,,returning_2025
22,Amarian Louis,CB,DB,Defense,R-Jr.,Redshirt Junior,Junior eligibility,5-8,68,166,166.0,Dodge City,returning_2025
22,Donovan Triplett,RB,RB,Offense,Fr.,Freshman,Freshman eligibility,5-7,67,190,190.0,,first_time_college
23,Tahj Owens,S,DB,Defense,Gr.,Graduate,Senior / Graduate,6-0,72,205,205.0,Princeton,college_newcomer
24,"Ofa ""Lolo"" Mataele",RB,RB,Offense,Sr.,Senior,Senior / Graduate,6-0,72,219,219.0,College of San Mateo,returning_2025
24,Camari Patterson,S,DB,Defense,Fr.,Freshman,Freshman eligibility,5-10,70,190,190.0,,first_time_college
25,Ryan Millmore,P,ST,Special Teams,R-Jr.,Redshirt Junior,Junior eligibility,6-3,75,200,200.0,Iowa State,returning_2025
26,Kouri Crump,S,DB,Defense,Gr.,Graduate,Senior / Graduate,6-3,75,205,205.0,VMI,college_newcomer
27,JR Hays,RB,RB,Offense,R-So.,Redshirt Sophomore,Sophomore eligibility,5-9,69,187,187.0,,returning_2025
28,Will Peterson,LS,ST,Special Teams,R-Fr.,Redshirt Freshman,Freshman eligibility,6-1,73,215,215.0,,returning_2025
29,Trevon Collard,S,DB,Defense,Fr.,Freshman,Freshman eligibility,6-0,72,170,170.0,,first_time_college
30,Keegan McCue,S,DB,Defense,Fr.,Freshman,Freshman eligibility,5-10,70,170,170.0,,first_time_college
31,DeJuan Echoles Jr.,DE,DL,Defense,R-Sr.,Redshirt Senior,Senior / Graduate,6-1,73,235,235.0,Ball State,college_newcomer
32,Dieter Kelly,K,ST,Special Teams,Jr.,Junior,Junior eligibility,5-11,71,200,200.0,College of San Mateo,college_newcomer
33,Zak Zeman,K,ST,Special Teams,Fr.,Freshman,Freshman eligibility,6-0,72,170,170.0,,first_time_college
34,Tanner Holt,P,ST,Special Teams,Fr.,Freshman,Freshman eligibility,6-0,72,175,175.0,,first_time_college
35,Enese Tonga,TE,TE,Offense,So.,Sophomore,Sophomore eligibility,6-4,76,250,250.0,Garden City CC,college_newcomer
36,Freddy Brown,LB,LB,Defense,R-Fr.,Redshirt Freshman,Freshman eligibility,5-11,71,215,215.0,,returning_2025
37,Carlos Mitchell Jr.,CB,DB,Defense,R-So.,Redshirt Sophomore,Sophomore eligibility,5-9,69,175,175.0,,rejoining_program
38,Breck Mallory,LB,LB,Defense,Fr.,Freshman,Freshman eligibility,6-2,74,210,210.0,,first_time_college
40,Cody Haworth,DE,DL,Defense,Fr.,Freshman,Freshman eligibility,6-4,76,235,235.0,,first_time_college
40,Nathan Sines,TE,TE,Offense,R-Jr.,Redshirt Junior,Junior eligibility,6-6,78,228,228.0,,returning_2025
41,Zavian Tibbs,DT,DL,Defense,Sr.,Senior,Senior / Graduate,6-1,73,290,290.0,Houston,college_newcomer
42,Gabe Welch,LB,LB,Defense,R-Jr.,Redshirt Junior,Junior eligibility,6-1,73,225,225.0,Butler CC,returning_2025
43,Chris Stewart,DE,DL,Defense,Fr.,Freshman,Freshman eligibility,6-3,75,230,230.0,,first_time_college
45,Andrew Baker,LB,LB,Defense,R-So.,Redshirt Sophomore,Sophomore eligibility,6-1,73,225,225.0,,returning_2025
46,Max Baker,DE,DL,Defense,Fr.,Freshman,Freshman eligibility,6-4,76,279,279.0,,first_time_college
46,Drew Doyle,LS,ST,Special Teams,R-So.,Redshirt Sophomore,Sophomore eligibility,6-1,73,242,242.0,Virginia Tech,college_newcomer
47,Domanick Moon,LB,LB,Defense,R-Sr.,Redshirt Senior,Senior / Graduate,6-2,74,235,235.0,Purdue,returning_2025
48,Tre Johnson,CB,DB,Defense,Fr.,Freshman,Freshman eligibility,6-3,75,160,160.0,,first_time_college
54,Alex Poholik,C,OL,Offense,R-So.,Redshirt Sophomore,Sophomore eligibility,6-2,74,300,300.0,Iowa Western CC,college_newcomer
55,Blair Alexander,DT,DL,Defense,Gr.,Graduate,Senior / Graduate,6-2,74,270,270.0,N.C. State,college_newcomer
55,Jacob Bailey,OL,OL,Offense,R-Fr.,Redshirt Freshman,Freshman eligibility,6-4,76,309,309.0,James Madison,college_newcomer
57,Jake Chellman,OL,OL,Offense,R-So.,Redshirt Sophomore,Sophomore eligibility,6-5,77,297,297.0,,returning_2025
